epoch,type,name,avg,pct5,pct10,pct50,pct90,pct95,pct99,pct100
3,joint,LHip,25.931073,7.031335,9.086787,24.069884,47.072074,52.674253,61.410020,101.164063
3,joint,LKnee,43.913034,16.239665,20.375808,40.029990,70.568970,88.055731,118.899836,211.254543
3,joint,LFoot,76.927567,22.771011,30.170202,72.472996,130.690790,158.899347,205.022896,450.256486
3,joint,Spine,47.127391,24.356215,27.545337,43.858281,72.682170,82.753513,101.153560,114.465487
3,joint,Thorax,66.205136,19.324062,24.703986,54.772404,121.660921,144.505998,169.323323,222.123593
3,joint,Neck/Nose,82.389665,33.364936,38.709022,72.812612,145.807118,165.607453,195.504613,227.383078
3,joint,Head,103.669400,34.082375,39.632083,87.014706,196.351543,224.867425,264.776974,296.316755
3,joint,LShoulder,67.962744,25.636747,31.727006,59.609990,116.891712,140.613666,163.744626,323.316696
3,joint,LElbow,108.494461,30.095918,40.352886,99.580453,183.529601,222.974663,303.697666,395.356311
3,joint,LWrist,192.075582,61.740258,82.861754,175.061257,322.982012,367.782689,440.307558,731.857828
3,joint,RShoulder,89.664373,39.446608,46.569263,83.485846,142.319132,155.159750,182.645689,227.978139
3,joint,RElbow,122.504921,48.512138,60.271120,112.718101,196.257426,244.964255,300.327561,426.241609
3,joint,RWrist,209.030575,105.458211,120.333317,193.552312,323.646726,365.262756,447.277404,708.819357
4,action,Directions,77.120103,19.497530,26.577810,64.582312,157.330824,200.132206,301.114275,705.143383
4,joint,RHip,34.204409,10.779153,14.643174,33.273879,54.723290,59.592713,72.489592,99.056042
4,joint,RKnee,59.319787,23.022850,29.722011,57.924929,87.762765,95.824100,127.476375,216.429593
4,joint,RFoot,99.772784,45.064926,54.563905,98.617636,141.552630,153.058697,191.935987,308.795405
4,joint,LHip,34.184085,10.768195,14.613987,33.249501,54.700106,59.578152,72.485075,99.012369
4,joint,LKnee,52.033474,22.405200,26.956903,45.297556,82.826218,110.109794,151.699534,222.068527
4,joint,LFoot,78.417054,36.593612,42.798259,73.767149,120.617041,142.463867,188.954597,482.318875
4,joint,Spine,57.789895,22.448484,28.227492,58.041216,84.852125,93.501490,114.534981,122.626143
4,joint,Thorax,56.130916,13.386802,17.393126,43.442844,115.932170,132.880429,153.168767,203.346482
4,joint,Neck/Nose,65.175352,19.042165,24.267334,52.798926,128.617041,147.791932,173.671979,208.991560
4,joint,Head,77.132113,25.488802,30.258051,54.681197,164.800191,192.911229,226.490267,266.991423
4,joint,LShoulder,74.209718,28.227699,36.341399,68.244218,122.056089,135.538326,161.374850,288.636711
4,joint,LElbow,99.425249,21.825368,34.241972,84.695870,183.966578,221.361452,262.097426,385.822921
4,joint,LWrist,162.281952,49.861609,65.855291,139.740112,288.025666,352.031458,541.396828,610.954989
4,joint,RShoulder,74.580213,22.531084,28.578675,68.273821,131.030340,146.191591,172.603888,232.494596
4,joint,RElbow,110.573190,31.785218,42.977422,98.805321,189.293313,214.674549,291.887035,419.209217
4,joint,RWrist,175.811561,65.447774,80.294822,168.437683,273.613940,309.856825,447.176050,705.143383
5,action,Directions,78.142040,17.140409,23.877765,65.569022,163.540897,206.906806,318.371072,807.471215
